

currency total:

+------------+------+-----------+
| money_type | type | sum       |
+------------+------+-----------+
|          8 |    2 |  5001 |         0 |
|          8 |    2 |  5003 |        20 |
|          8 |    2 |  9006 |        20 |
|          8 |    2 | 10002 |        25 |
|          8 |    2 | 11102 |        80 |
|         61 |    1 |   102 |       450 |
|         61 |    1 |   103 |       810 |
|         61 |    1 |   105 |      7045 |
|         61 |    1 |   106 |      3920 |
|         61 |    1 |  2012 |      2020 |
|         61 |    1 |  2013 |       350 |
|         61 |    1 |  4803 |       660 |
|         61 |    1 |  5101 |      1020 |
|         61 |    2 |  1308 |     47415 |
|         61 |    2 |  2003 |         5 |
|         66 |    1 |   106 |     74000 |
|         66 |    1 |  2010 |   4162618 |
|         66 |    1 |  2106 |      6400 |
|         66 |    1 |  2210 |      1774 |
|         66 |    1 |  3510 |     50390 |
|         66 |    1 |  4101 |      4400 |
|         66 |    1 |  5002 |     13200 |
|         66 |    2 |  1101 |   9199032 |
|         67 |    1 |  1504 |     82821 |
|         67 |    1 |  2013 |     19030 |
|         67 |    2 |  1506 |     72292 |
+------------+------+-------+-----------+
