s1:

+---------------------+--------+----+
| time                | player | ip |
| 2016-08-18 10:34:29 |     17 | 30 |
| 2016-08-18 10:39:30 |     19 | 32 |
| 2016-08-18 10:44:30 |     23 | 35 |
| 2016-08-18 10:49:30 |     23 | 35 |
| 2016-08-18 10:54:31 |     24 | 36 |
| 2016-08-18 10:59:31 |     23 | 35 |
| 2016-08-18 11:04:31 |     25 | 37 |
| 2016-08-18 11:09:32 |     28 | 40 |
| 2016-08-18 11:14:32 |     24 | 35 |
| 2016-08-18 11:19:32 |     25 | 36 |
| 2016-08-18 11:24:32 |     27 | 37 |
| 2016-08-18 11:29:33 |     28 | 38 |
| 2016-08-18 11:34:33 |     29 | 39 |
| 2016-08-18 11:39:33 |     31 | 40 |
| 2016-08-18 11:44:34 |     31 | 41 |
| 2016-08-18 11:49:34 |     31 | 41 |
| 2016-08-18 11:54:34 |     30 | 41 |
| 2016-08-18 11:59:35 |     32 | 42 |
| 2016-08-18 12:04:35 |     32 | 42 |
| 2016-08-18 12:09:35 |     29 | 39 |
| 2016-08-18 12:14:35 |     29 | 39 |
| 2016-08-18 12:19:36 |     31 | 41 |
| 2016-08-18 12:24:36 |     31 | 40 |
| 2016-08-18 12:29:36 |     33 | 42 |
| 2016-08-18 12:34:37 |     32 | 41 |
| 2016-08-18 12:39:37 |     31 | 40 |
| 2016-08-18 12:44:37 |     31 | 40 |
| 2016-08-18 12:49:38 |     31 | 40 |
| 2016-08-18 12:54:38 |     31 | 40 |
| 2016-08-18 12:59:38 |     31 | 40 |
| 2016-08-18 13:04:38 |     29 | 38 |
| 2016-08-18 13:09:39 |     28 | 38 |
| 2016-08-18 13:14:39 |     26 | 36 |
| 2016-08-18 13:19:39 |     26 | 36 |
| 2016-08-18 13:24:40 |     28 | 38 |
| 2016-08-18 13:29:40 |     29 | 39 |
| 2016-08-18 13:34:40 |     28 | 38 |
| 2016-08-18 13:39:41 |     28 | 39 |
| 2016-08-18 13:44:41 |     27 | 38 |
| 2016-08-18 13:49:41 |     28 | 39 |
| 2016-08-18 13:54:41 |     27 | 38 |
| 2016-08-18 13:59:42 |     29 | 40 |
| 2016-08-18 14:04:42 |     30 | 41 |
| 2016-08-18 14:09:42 |     30 | 41 |
| 2016-08-18 14:14:43 |     27 | 37 |
| 2016-08-18 14:19:43 |     26 | 37 |
| 2016-08-18 14:24:43 |     25 | 36 |
| 2016-08-18 14:29:44 |     27 | 37 |
| 2016-08-18 14:34:44 |     28 | 38 |
| 2016-08-18 14:39:44 |     26 | 36 |
| 2016-08-18 14:44:45 |     27 | 37 |
| 2016-08-18 14:49:45 |     26 | 36 |
| 2016-08-18 14:54:45 |     25 | 34 |
| 2016-08-18 14:59:45 |     24 | 34 |
| 2016-08-18 15:04:46 |     22 | 33 |
| 2016-08-18 15:09:46 |     24 | 34 |
| 2016-08-18 15:14:46 |     22 | 34 |
| 2016-08-18 15:19:47 |     21 | 33 |
| 2016-08-18 15:24:47 |     22 | 33 |
| 2016-08-18 15:29:47 |     25 | 36 |
| 2016-08-18 15:34:48 |     25 | 36 |
| 2016-08-18 15:39:48 |     27 | 37 |
| 2016-08-18 15:44:48 |     28 | 38 |
| 2016-08-18 15:49:48 |     32 | 42 |
| 2016-08-18 15:54:49 |     31 | 41 |
| 2016-08-18 15:59:49 |     35 | 43 |
| 2016-08-18 16:04:49 |     34 | 43 |
| 2016-08-18 16:09:50 |     33 | 42 |
| 2016-08-18 16:14:50 |     34 | 43 |
| 2016-08-18 16:19:50 |     29 | 39 |
| 2016-08-18 16:24:51 |     25 | 35 |
| 2016-08-18 16:29:51 |     29 | 37 |
| 2016-08-18 16:34:51 |     28 | 35 |
| 2016-08-18 16:39:51 |     24 | 33 |
| 2016-08-18 16:44:52 |     25 | 33 |
